route,route_type,capability,budget,blocks,capability_drop_pp,overall_drop_pp,vision_speedup_percent,total_speedup_percent,removed_parameters,removed_vision_percent,peak_allocated_mib,repeat,latency_source
route-035-k16,generic_macro,ocr,16,3 4 5 6 8 9 10 11 12 20 22 24 25 27 28 30,72.97297297297297,45.79646017699115,39.14930765458835,21.520920484201067,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-035-k16,generic_macro,spatial,16,3 4 5 6 8 9 10 11 12 20 22 24 25 27 28 30,29.05027932960894,45.79646017699115,39.14930765458835,21.520920484201067,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-036-k16,contiguous_macro,attribute,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,46.391752577319586,45.6858407079646,40.686454758558945,20.976798632904426,315235200,47.14260610831042,7123.2421875,,original_dynamic_clock
route-036-k16,contiguous_macro,counting,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,43.01675977653631,45.6858407079646,40.686454758558945,20.976798632904426,315235200,47.14260610831042,7123.2421875,,original_dynamic_clock
route-036-k16,contiguous_macro,object,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,36.52694610778444,45.6858407079646,40.686454758558945,20.976798632904426,315235200,47.14260610831042,7123.2421875,,original_dynamic_clock
route-036-k16,contiguous_macro,ocr,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,72.97297297297297,45.6858407079646,40.686454758558945,20.976798632904426,315235200,47.14260610831042,7123.2421875,,original_dynamic_clock
route-036-k16,contiguous_macro,spatial,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,27.93296089385475,45.6858407079646,40.686454758558945,20.976798632904426,315235200,47.14260610831042,7123.2421875,,original_dynamic_clock
route-037-k16,random,attribute,16,0 1 3 6 8 9 10 13 15 16 17 21 24 26 28 31,64.43298969072164,49.557522123893804,27.020939608646444,10.634102361738119,315235200,47.14260610831042,7122.5390625,0,original_dynamic_clock
route-037-k16,random,counting,16,0 1 3 6 8 9 10 13 15 16 17 21 24 26 28 31,39.66480446927375,49.557522123893804,27.020939608646444,10.634102361738119,315235200,47.14260610831042,7122.5390625,0,original_dynamic_clock
route-037-k16,random,object,16,0 1 3 6 8 9 10 13 15 16 17 21 24 26 28 31,38.32335329341318,49.557522123893804,27.020939608646444,10.634102361738119,315235200,47.14260610831042,7122.5390625,0,original_dynamic_clock
route-037-k16,random,ocr,16,0 1 3 6 8 9 10 13 15 16 17 21 24 26 28 31,72.97297297297297,49.557522123893804,27.020939608646444,10.634102361738119,315235200,47.14260610831042,7122.5390625,0,original_dynamic_clock
route-037-k16,random,spatial,16,0 1 3 6 8 9 10 13 15 16 17 21 24 26 28 31,29.60893854748604,49.557522123893804,27.020939608646444,10.634102361738119,315235200,47.14260610831042,7122.5390625,0,original_dynamic_clock
route-038-k16,random,attribute,16,1 5 6 8 12 13 17 18 19 20 22 23 26 27 28 30,56.70103092783505,44.57964601769911,40.54898443018988,21.644900152518364,315235200,47.14260610831042,7122.36328125,1,original_dynamic_clock
route-038-k16,random,counting,16,1 5 6 8 12 13 17 18 19 20 22 23 26 27 28 30,30.16759776536313,44.57964601769911,40.54898443018988,21.644900152518364,315235200,47.14260610831042,7122.36328125,1,original_dynamic_clock
route-038-k16,random,object,16,1 5 6 8 12 13 17 18 19 20 22 23 26 27 28 30,31.137724550898206,44.57964601769911,40.54898443018988,21.644900152518364,315235200,47.14260610831042,7122.36328125,1,original_dynamic_clock
route-038-k16,random,ocr,16,1 5 6 8 12 13 17 18 19 20 22 23 26 27 28 30,72.97297297297297,44.57964601769911,40.54898443018988,21.644900152518364,315235200,47.14260610831042,7122.36328125,1,original_dynamic_clock
route-038-k16,random,spatial,16,1 5 6 8 12 13 17 18 19 20 22 23 26 27 28 30,29.05027932960894,44.57964601769911,40.54898443018988,21.644900152518364,315235200,47.14260610831042,7122.36328125,1,original_dynamic_clock
route-039-k16,random,attribute,16,1 3 4 5 7 9 12 13 18 20 21 24 27 29 30 31,57.21649484536082,48.230088495575224,38.86502691388654,20.48038088765878,315235200,47.14260610831042,7122.36328125,2,original_dynamic_clock
route-039-k16,random,counting,16,1 3 4 5 7 9 12 13 18 20 21 24 27 29 30 31,41.899441340782126,48.230088495575224,38.86502691388654,20.48038088765878,315235200,47.14260610831042,7122.36328125,2,original_dynamic_clock
route-039-k16,random,object,16,1 3 4 5 7 9 12 13 18 20 21 24 27 29 30 31,38.32335329341318,48.230088495575224,38.86502691388654,20.48038088765878,315235200,47.14260610831042,7122.36328125,2,original_dynamic_clock
route-039-k16,random,ocr,16,1 3 4 5 7 9 12 13 18 20 21 24 27 29 30 31,72.97297297297297,48.230088495575224,38.86502691388654,20.48038088765878,315235200,47.14260610831042,7122.36328125,2,original_dynamic_clock
route-039-k16,random,spatial,16,1 3 4 5 7 9 12 13 18 20 21 24 27 29 30 31,28.49162011173185,48.230088495575224,38.86502691388654,20.48038088765878,315235200,47.14260610831042,7122.36328125,2,original_dynamic_clock
